HEX CODE,Expanded HEX
#016,#001166
#017,#001177
#018,#001188
#019,#001199
#01A,#0011AA
#01C,#0011CC
#01D,#0011DD
#01E,#0011EE
#020,#002200
#021,#002211
#022,#002222
#023,#002233
#024,#002244
#025,#002255
#026,#002266
#027,#002277
#028,#002288
#029,#002299
#02A,#0022AA
#02B,#0022BB
#02C,#0022CC
#02E,#0022EE
#02F,#0022FF
#030,#003300
#031,#003311
#032,#003322
#033,#003333
#035,#003355
#037,#003377
#038,#003388
#03A,#0033AA
#03B,#0033BB
#03D,#0033DD
#03E,#0033EE
#041,#004411
#042,#004422
#043,#004433
#044,#004444
#045,#004455
#046,#004466
#047,#004477
#048,#004488
#049,#004499
#04B,#0044BB
#04C,#0044CC
#04D,#0044DD
#04E,#0044EE
#050,#005500
#051,#005511
#052,#005522
#053,#005533
#054,#005544
#055,#005555
#056,#005566
#057,#005577
#058,#005588
#059,#005599
#05A,#0055AA
#05B,#0055BB
#05C,#0055CC
#05D,#0055DD
#05E,#0055EE
#061,#006611
#063,#006633
#064,#006644
#065,#006655
#066,#006666
#067,#006677
#068,#006688
#06A,#0066AA
#06B,#0066BB
#06D,#0066DD
#06E,#0066EE
#070,#007700
#071,#007711
#072,#007722
#073,#007733
#074,#007744
#075,#007755
#076,#007766
#078,#007788
#079,#007799
#07A,#0077AA
#07B,#0077BB
#07C,#0077CC
#07D,#0077DD
#081,#008811
#082,#008822
#083,#008833
#084,#008844
#085,#008855
#086,#008866
#087,#008877
#088,#008888
#089,#008899
#08A,#0088AA
#08B,#0088BB
#08D,#0088DD
#08E,#0088EE
#090,#009900
#091,#009911
#092,#009922
#093,#009933
#094,#009944
#095,#009955
#096,#009966
#097,#009977
#098,#009988
#09A,#0099AA
#09B,#0099BB
#09C,#0099CC
#09D,#0099DD
#0A1,#00AA11
#0A2,#00AA22
#0A3,#00AA33
#0A4,#00AA44
#0A5,#00AA55
#0A6,#00AA66
#0A7,#00AA77
#0A8,#00AA88
